Name,Ingredients,Diet,Flavor,Protein,Carbohydrate_Content,Meal_Type,Cuisine_Type,Preparation_Method,Health_Benefits
Idly,"(Rice flour, Urad dal)",Vegetarian,Plain,Yes,High,Breakfast,South Indian,Steamed,"('High Fiber', 'Diabetic Friendly', 'Gluten-Free', 'Protein Rich')"
Dosa,"(Rice flour, Urad dal)",Vegetarian,Plain,Yes,Moderate,Breakfast,South Indian,Fried,"('High Fiber', 'Diabetic Friendly', 'Gluten-Free', 'Protein Rich')"
Vada,"(Urad dal, Gram flour)",Vegetarian,Spicy,Yes,Moderate,Snack,South Indian,Fried,"('High Fiber', 'Protein Rich')"
Poha,"(Flattened rice, Peas, Spices)",Vegetarian,Spicy,No,High,Breakfast,West Indian,Boiled,"('High Fiber', 'Protein Rich')"
Upma,"(Semolina, Vegetables, Spices)",Vegetarian,Spicy,No,Moderate,Breakfast,South Indian,Boiled,"('Protein Rich','High Fiber')"
Paratha,"(Wheat flour, Ghee)",Vegetarian,Spicy,No,High,Breakfast,North Indian,Fried,"('None')"
Masala Dosa,"(Rice flour, Urad dal, Potatoes, Spices)",Vegetarian,Spicy,Yes,Moderate,Main Course,South Indian,Fried,"('High Fiber', 'Diabetic Friendly', 'Protein Rich')"
Chole Bhature,"(Chickpeas, Wheat flour, Spices)",Vegetarian,Spicy,Yes,High,Main Course,North Indian,Fried,"('Protein Rich')"
Aloo Puri,"(Potatoes, Wheat flour, Spices)",Vegetarian,Spicy,No,High,Main Course,North Indian,Fried,"('None')"
Biryani,"(Basmati rice, Chicken, Spices)",Non-Vegetarian,Spicy,Yes,High,Main Course,North Indian,Baked,"('Bone Health', 'Protein Rich')"
Butter Chicken,"(Chicken, Cream, Spices)",Non-Vegetarian,Creamy,Yes,Moderate,Main Course,North Indian,Fried,"('Bone Health', 'Protein Rich')"
Rajma Chawal,"(Kidney beans, Rice)",Vegetarian,Spicy,Yes,High,Main Course,North Indian,Boiled,"('High Fiber', 'Bone Health', 'Protein Rich')"
Tandoori Roti,"(Wheat flour, Ghee)",Vegetarian,Plain,No,Moderate,Bread,North Indian,Baked,"('High Fiber', 'Protein Rich')"
Palak Paneer,"(Spinach, Paneer, Spices)",Vegetarian,Spicy,Yes,Moderate,Main Course,North Indian,Fried,"('High Fiber', 'Bone Health', 'Protein Rich')"
Dal Makhani,"(Black lentils, Kidney beans, Cream, Spices)",Vegetarian,Creamy,Yes,Moderate,Main Course,North Indian,Boiled,"('High Fiber', 'Protein Rich')"
Samosa,"(Potatoes, Peas, Spices)",Vegetarian,Spicy,No,High,Snack,North Indian,Fried,"('None')"
Gulab Jamun,"(Milk solids, Sugar syrup)",Vegetarian,Sweet,No,High,Dessert,North Indian,Fried,"('None',)"
Rasgulla,"(Paneer, Sugar syrup)",Vegetarian,Sweet,Yes,Moderate,Dessert,East Indian,Boiled,"('Bone Health')"
Jalebi,"(All-purpose flour, Sugar syrup)",Vegetarian,Sweet,No,High,Dessert,North Indian,Fried,"('None',)"
Kheer,"(Rice, Milk, Sugar, Nuts)",Vegetarian,Sweet,Yes,Moderate,Dessert,North Indian,Boiled,"('Bone Health',)"
Sambhar,"(Toor dal, Vegetables, Tamarind, Spices)",Vegetarian,Spicy,Yes,High,Main Course,South Indian,Boiled,"('High Fiber')"
Rasam,"(Tomato, Tamarind, Lentils, Spices)",Vegetarian,Spicy,Yes,High,Main Course,South Indian,Boiled,"('High Fiber',)"
Coconut Chutney,"(Coconut, Green chillies, Urad dal)",Vegetarian,Mild,No,Low,Side Dish,South Indian,Raw,"('Pregnancy Friendly','High Fiber')"
Pakora,"(Chickpea flour, Vegetables, Spices)",Vegetarian,Spicy,No,High,Snack,North Indian,Fried,"('None')"
Chaat,"(Potatoes, Chickpeas, Yogurt, Tamarind chutney)",Vegetarian,Spicy,Yes,High,Snack,North Indian,Assembled,"('None')"
Dhokla,"(Gram flour, Curd, Spices)",Vegetarian,Spicy,No,Moderate,Snack,West Indian,Steamed,"('High Fiber','Protein Rich')"
Paneer Tikka,"(Paneer, Yogurt, Spices)",Vegetarian,Spicy,Yes,Moderate,Appetizer,North Indian,Grilled,"('Bone Health','Protein Rich')"
Pulao,"(Basmati rice, Vegetables, Spices)",Vegetarian,Spicy,No,Moderate,Main Course,North Indian,Boiled,"('High Fiber',)"
Kofta Curry,"(Mixed vegetables, Paneer, Spices)",Vegetarian,Spicy,Yes,High,Main Course,North Indian,Fried,"('High Fiber',)"
Thali,(Assorted dishes),Vegetarian,Mixed,Yes,High,Main Course,North Indian,Assembled,"('Bone Health','Protein Rich','Pregnancy Friendly')"
Bhindi Masala,"(Okra, Spices)",Vegetarian,Spicy,No,Moderate,Main Course,North Indian,Fried,"('High Fiber',)"
Mysore Pak,"(Chickpea flour, Ghee, Sugar)",Vegetarian,Sweet,No,High,Dessert,South Indian,Boiled,"('None')"
Hyderabadi Biryani,"(Basmati rice, Lamb, Spices)",Non-Vegetarian,Spicy,Yes,High,Main Course,South Indian,Baked,"('Protein Rich',)"
Lassi,"(Yogurt, Sugar, Cardamom)",Vegetarian,Sweet,No,High,Drink,North Indian,Blended,"('Bone Health',)"
Roti,"(Wheat flour, Water)",Vegetarian,Plain,No,Moderate,Bread,North Indian,Grilled,"('High Fiber',)"
Tandoori Chicken,"(Chicken, Yogurt, Spices)",Non-Vegetarian,Spicy,Yes,Moderate,Appetizer,North Indian,Grilled,"('Bone Health','Protein Rich')"
Fish Curry,"(Fish, Coconut milk, Spices)",Non-Vegetarian,Spicy,Yes,Moderate,Main Course,South Indian,Boiled,"('Bone Health','Protein Rich','Pregnancy Friendly')"
Aloo Gobi,"(Potatoes, Cauliflower, Spices)",Vegetarian,Spicy,No,Moderate,Main Course,North Indian,Fried,"('None')"
Kadhi,"(Yogurt, Gram flour, Spices)",Vegetarian,Spicy,Yes,High,Main Course,North Indian,Boiled,"('High Fiber',)"
